gene	module	Rg	ReproScore
CRBN	2	0.2442234282830194	0.7169650468883205
CREB1	1	-0.12717584896864126	0.38405797101449274
CREBBP	1	0.2244525161636337	0.629156010230179
CSDE1	4	0.2523225916094589	0.7340153452685422
CSF1	3	0.30084635246523506	0.79923273657289
CSF1R	3	0.11000884354751315	0.6423699914748509
CSF2	1	0.3954676670433741	0.8000852514919011
CSNK2B	4	0.01606860335643943	0.540920716112532
CTCF	1	-0.008762669735338385	0.5592497868712702
CTLA4	1	0.1658264939866521	0.7280477408354646
CTNNA1	1	-0.11084439681642852	0.30434782608695654
CTNNB1	1	0.3434880656184829	0.7037510656436488
CTNND1	4	0.1502007508543873	0.5323955669224212
CTR9	4	0.10801054284948833	0.4876385336743393
CUL3	4	0.13669692301011999	0.5942028985507246
CUL4A	1	0.1531405351776434	0.7144075021312873
CUL7	1	0.33962769519398944	0.7510656436487638
CXCR4	2	0.22719575097466782	0.6091219096334186
CYFIP1	1	-0.0293296759808536	0.5225916453537937
DCTN1	1	0.2759005043173112	0.649616368286445
DDB2	2	0.38290051142041626	0.8508098891730606
DDIT3	4	0.12008634697044027	0.5098039215686274
DDR1	3	0.03690955221800035	0.5481670929241261
DDX3X	1	0.12362954399981371	0.6930946291560103
DDX41	3	-0.23764903666423273	0.3452685421994885
DDX5	2	0.06582938398150372	0.6794543904518329
DDX6	1	0.4715746173213999	0.8269394714407502
DEK	2	0.514017064296524	0.9075021312872975
DHX15	1	0.1832856307112798	0.726768968456948
DIAPH1	1	0.14871555288233143	0.6577152600170503
DIS3	1	-0.026261550908260486	0.5221653878942881
DNAJB1	2	0.20412539743266392	0.6649616368286445
DNM2	2	0.3041352848621365	0.7301790281329923
DNMT1	2	0.31010201451002783	0.742540494458653
DNMT3B	1	0.46840185637608295	0.7783461210571185
ECSIT	2	-0.15977156287506386	0.33248081841432225
EGFR	1	0.31348253659168557	0.7306052855924979
EGR1	2	-0.013623920096867938	0.5426257459505541
EIF2B1	2	0.20626209969229048	0.7412617220801364
EIF3A	1	0.059388894843099956	0.4833759590792839
EIF3E	1	-0.013141891369513735	0.46547314578005117
EIF4E	1	0.15678088223726172	0.644075021312873
ELL2	1	0.48336212480347973	0.8797953964194374
ELP2	2	0.4964101438029118	0.8712702472293266
EP300	1	0.053982816798703745	0.5200341005967605
EPAS1	1	0.03990452811555743	0.5132139812446718
EPC1	2	0.3185399241027007	0.7774936061381075
EPCAM	2	0.11370518322797953	0.632992327365729
EPS15	1	0.1932858613881659	0.6713554987212276
ERBB2	2	0.25682012536301935	0.6888320545609549
ERBB3	4	0.475718383506875	0.9296675191815857
ERCC1	3	0.3155273922663586	0.763000852514919
ERCC2	1	0.08991062650221247	0.5549872122762148
ERCC3	2	0.33210705842759225	0.7655583972719523
ESR1	3	0.30354518779997397	0.8107416879795396
EWSR1	3	-0.10516848137037545	0.3597612958226769
EXOSC6	1	0.3045637625356986	0.6692242114236999
EXT1	1	0.49225048328634924	0.829070758738278
EZH2	2	0.404537124426389	0.902387041773231
EZR	1	0.24011954800186663	0.7169650468883205
FANCA	2	-0.25170012750388765	0.4339300937766411
FANCC	3	0.39481610059945804	0.7988064791133844
FANCE	2	-0.13790975728498808	0.4492753623188406
FANCF	3	-0.19158232473893522	0.3213981244671782
FANCG	3	0.12826360806311474	0.6530264279624893
FANCL	2	0.5853067664735994	0.9398976982097187
FAS	2	0.5129384989505892	0.870843989769821
FBLN2	3	0.3558072536278347	0.902387041773231
FBXO11	1	0.3937119099630789	0.7566069906223358
FBXW2	1	-0.12858970674938652	0.45907928388746805
FEN1	2	0.4299609273852082	0.8623188405797101
FIP1L1	3	-0.09243164312501645	0.41432225063938616
FOXO3	2	0.22046947227920086	0.7659846547314578
FUS	6	0.016121651270234228	0.5238704177323104
FXR1	1	0.13427290573445935	0.5852514919011083
G3BP1	3	0.36771642436761054	0.8827791986359761
GADD45B	2	0.38964339508073964	0.8529411764705882
GATA3	1	0.25397491907759934	0.8171355498721228
GNA11	1	0.185020981619139	0.7041773231031543
GNAI2	1	0.29448009774850725	0.7058823529411765
GNAQ	1	0.28785899610898447	0.6295822676896846
GNAS	1	0.1981675938508642	0.7101449275362319
GNB1	1	0.5041674627952639	0.8610400682011935
GOPC	1	0.18139309166445	0.6300085251491901
GPS2	1	0.1015422164110063	0.6091219096334186
GRB2	1	0.49477165020263375	0.8678601875532822
GRB7	2	0.37888390357793117	0.8554987212276215
GSK3B	1	0.5134354605724649	0.8640238704177323
GTF2I	2	-0.0064231928819415505	0.5392156862745098
H3F3A	2	0.3964689429768399	0.7459505541346974
HDAC1	2	0.11013277904117907	0.5993179880647912
HDAC2	2	0.08158391999992828	0.5387894288150042
HDAC4	1	-0.12712092456969687	0.5004262574595055
HDAC7	1	0.07567705767369254	0.5647911338448423
HERC2	6	-0.0398830976018265	0.4062233589087809
HIF1A	1	0.38814581276109095	0.7310315430520034
HLA-A	1	0.5050005683015352	0.8721227621483376
HLA-B	1	0.07319965678686147	0.6227621483375959
HLA-C	1	0.5393044947774519	0.9002557544757034
HMGB1	3	0.2955656393711113	0.7416879795396419
HNRNPA2B1	3	0.3050027887862739	0.7578857630008525
HNRNPK	3	0.2704769606697144	0.7276214833759591
HOOK3	4	-0.010331645667845748	0.5349531116794544
HRAS	1	0.2469998594454079	0.6606990622335891
HSP90AA1	1	0.3956586317988353	0.7740835464620631
HSP90AB1	1	0.43492250542191124	0.7016197783461211
IDH1	2	0.25067326674625495	0.6854219948849105
IDH2	2	0.4807673217663997	0.8793691389599319
IFNAR1	2	0.06716983992352127	0.5076726342710998
IGF1	1	0.0010382867253091004	0.5183290707587382
IGF1R	1	0.39313936859008414	0.8384484228473998
IGF2	1	0.27677001618383434	0.6257459505541347
IGF2R	1	0.4196463239498089	0.7617220801364024
IKBKB	2	0.020581149216316846	0.5699062233589088
IL13RA1	1	0.3334520155413677	0.7595907928388747
IL6ST	2	0.4474428771857254	0.8682864450127877
IMP4	3	0.0059232565369514364	0.45907928388746805
ING1	2	0.3938409168365543	0.8213981244671782
