gene,Rg,Rg_mean,n_pairs_computable,ReproScore,R_self,frac_pairs,empirical_p,evt_p,evt_method,evt_n_exc,evt_xi,evt_gof_p,empirical_FDR,evt_FDR,shuffle_p,shuffle_FDR,shuffle_FDR_low_power,atlas_member,strength_tier
OFD1,0.15491707959951118,0.13485014598068928,6,0.6125319693094629,0.13485014598068928,0,0.21078921078921078,0.21078921078921078,empirical,NA,NA,NA,0.3442890442890443,0.3442890442890443,0.21078921078921078,0.3442890442890443,FALSE,FALSE,not_member
CUL4A,0.1531405351776434,0.2029779340536765,6,0.7144075021312873,0.2029779340536765,0.3333333333333333,0.25074925074925075,0.25074925074925075,empirical,NA,NA,NA,0.39316858440364416,0.39316858440364416,0.25074925074925075,0.39316858440364416,FALSE,FALSE,not_member
PABPC1,0.1528726614782314,0.08316536506804725,6,0.5937766410912191,0.08316536506804725,0,0.19080919080919082,0.19080919080919082,empirical,NA,NA,NA,0.32520522955305564,0.32520522955305564,0.19080919080919082,0.32520522955305564,FALSE,FALSE,not_member
NCOR1,0.15031397954775697,0.12124224430627992,6,0.6095481670929241,0.12124224430627992,0,0.2007992007992008,0.2007992007992008,empirical,NA,NA,NA,0.33495015622675195,0.33495015622675195,0.2007992007992008,0.33495015622675195,FALSE,FALSE,not_member
CTNND1,0.1502007508543873,0.06701116432739954,6,0.5323955669224212,0.06701116432739954,0,0.27972027972027974,0.27972027972027974,empirical,NA,NA,NA,0.4201162821852477,0.4201162821852477,0.27972027972027974,0.4201162821852477,FALSE,FALSE,not_member
DIAPH1,0.14871555288233143,0.1726034718636162,6,0.6577152600170503,0.1726034718636162,0,0.13986013986013987,0.13986013986013987,empirical,NA,NA,NA,0.2623037340018472,0.2623037340018472,0.13986013986013987,0.2623037340018472,FALSE,FALSE,not_member
MED12,0.1451878587960586,0.021512519346768375,6,0.5545609548167093,0.021512519346768375,0,0.16083916083916083,0.16083916083916083,empirical,NA,NA,NA,0.2878947536481783,0.2878947536481783,0.16083916083916083,0.2878947536481783,FALSE,FALSE,not_member
RAP1B,0.1437263497363923,0.15366558099064062,6,0.5545609548167093,0.15366558099064062,0.16666666666666666,0.2097902097902098,0.2097902097902098,empirical,NA,NA,NA,0.3440910553881265,0.3440910553881265,0.2097902097902098,0.3440910553881265,FALSE,FALSE,not_member
TOP2A,0.13957129198930332,0.13009472411162099,6,0.6253196930946292,0.13009472411162099,0,0.16683316683316685,0.16683316683316685,empirical,NA,NA,NA,0.2945882945882946,0.2945882945882946,0.16683316683316685,0.2945882945882946,FALSE,FALSE,not_member
CUL3,0.13669692301011999,0.05237338848874666,6,0.5942028985507246,0.05237338848874666,0,0.15484515484515485,0.15484515484515485,empirical,NA,NA,NA,0.2784371591711041,0.2784371591711041,0.15484515484515485,0.2784371591711041,FALSE,FALSE,not_member
FXR1,0.13427290573445935,0.13872041339708474,6,0.5852514919011083,0.13872041339708474,0,0.2897102897102897,0.2897102897102897,empirical,NA,NA,NA,0.4285525794959757,0.4285525794959757,0.2897102897102897,0.4285525794959757,FALSE,FALSE,not_member
BRD7,0.13000316956056587,0.1040171432172529,6,0.5728900255754475,0.1040171432172529,0.16666666666666666,0.23476523476523475,0.23476523476523475,empirical,NA,NA,NA,0.3771638197867706,0.3771638197867706,0.23476523476523475,0.3771638197867706,FALSE,FALSE,not_member
FANCG,0.12826360806311474,0.16932953283628135,6,0.6530264279624893,0.16932953283628135,0.16666666666666666,0.24675324675324675,0.24675324675324675,empirical,NA,NA,NA,0.3916083916083916,0.3916083916083916,0.24675324675324675,0.3916083916083916,FALSE,FALSE,not_member
MNAT1,0.1280798925339262,0.07594254174099217,6,0.5443307757885762,0.07594254174099217,0,0.27472527472527475,0.27472527472527475,empirical,NA,NA,NA,0.4158004158004159,0.4158004158004159,0.27472527472527475,0.4158004158004159,FALSE,FALSE,not_member
RAD51B,0.126921722487274,0.09568011317202742,6,0.6453537936913896,0.09568011317202742,0,0.2057942057942058,0.2057942057942058,empirical,NA,NA,NA,0.34038535304358086,0.34038535304358086,0.2057942057942058,0.34038535304358086,FALSE,FALSE,not_member
